руппа проверок/модуль,Проверка,Приоритет,Проверка,Примечание
Авторизация пользователя ,Валидация поля имя:,High,,
,- пустое,Medium,Passed,
,- кирилица,High,Passed,
,- латиница,High,Passed,
,- цифрами,Medium,Passed,
,- спецсимволами,Medium,Passed,
,- 1 символ,Medium,Passed,
,- ограничение по количеству символов,Medium,Passed,уточнить требования
,Валидация поля пароль:,,,
,- пустое,Medium,Passed,
,- 1 символ,Medium,Passed,
,- ограничение по количеству символов,Medium,Passed,уточнить требования
,- спецсимволами,Medium,Passed,
,- кирилица,High,Passed,
,- латиница,High,Passed,
,- цифрами,High,Passed,
,- нижний регистр,High,Passed,
,- верхний регистр,Medium,Passed,
,Валидация отправки формы:,High,,
,- заполнена валидными данными,High,Passed,
,- заполнена невалидными данными,Medium,Passed,
,,,,
Главная страница приложения,,,,
иконка Главное меню,Переключение по вкладкам:,,Passed,
,- Main:,,,
,  - News,,Passed,
,          иконка свернуть /развернуть,,Passed,
,          All News,,Passed,
,  - Claims,,Passed,
,          All Claims,,Passed,
,         иконка Creating Clams,,Passed,
,         иконка свернуть /развернуть,,Passed,
,- Claims:,,,
,  -  иконка Filtering,,Passed,
,  -  иконка Creating Clams,,Passed,
,- News:,,,
,  -  иконка Вверх/вниз,,Passed,
,  -  иконка Filter news,,Passed,
,  -  иконка Редактирование,,Passed,
,- About:,,Passed,
,  -  иконка Назад,,Passed,
иконка Love is all,,,Passed,
,          иконка свернуть /развернуть,,Passed,
иконка Выход,,,Passed,
,,,,
,,,,
,,,,
Группа проверок/модуль,Проверка,Приоритет,Проверка,Примечание
- Claims:,,,,
   Creating Clams,Title,,Passed,
,Executor,,Passed,
,Date,,Passed,
,Time,,Passed,
,Description,,Passed,
,Save,,Passed,
,Cancel,,Passed,
   Filtering,Open,,Faled,"уточнить требования                       Фильтр работает странно, необходимо разработать для него требования, чтобы точно знать какие функции он должен выпалнять."
,In progress,,,
,Executed,,,
,Cancelled,,,
,Ok,,,
,Cancel,,,
- News:,,,,
   Вверх/вниз,,,Passed,
,,,Passed,
,,,Passed,
  Filter news,Category,,Passed,
,DD.MM.YYY(период от),,Passed,
,DD.MM.YYY(период до),,Passed,
,FILTER,,Passed,
,CANCEL,,Passed,
   Редактирование,,,Passed,
,Control panel:,,Passed,
,  -  иконка Вверх/вниз,,Passed,
,  - иконка Filter news:,,Passed,
,Category,,Passed,
,DD.MM.YYY(период от),,Passed,
,DD.MM.YYY(период до),,Passed,
,Active,,Passed,
,Not active,,Passed,
,FILTER,,Passed,
,CANCEL,,Passed,
,- иконка Добавить:,,Passed,
,Category,,Passed,
,Title,,Passed,
,Publication date,,Passed,
,Time,,Passed,
,Description,,Passed,
,Active,,Passed,
,SAVE,,Passed,
,CANCEL,,Passed,
,- иконка Удалить,,Passed,
,Ok,,Passed,
,CANCEL,,Passed,
,- иконка  Редактировать,,Passed,
,Category,,Passed,
,Title,,Passed,
,Publication date,,Passed,
,Time,,Passed,
,Description,,Passed,
,Active,,Passed,
,SAVE,,Passed,
,CANCEL,,Passed,
,- иконка  Развернуть,,Passed,уточнить требования